id,date,time,trading_hour,vol,vol_bucket,spot,target,target_move_pct,direction,target_hit,days_to_target,min_hit,days_to_min,max_profit_pct,days_to_max
895,2025-08-14,13:49:18,AH,60,50-100,335.58,324.48,3.3077060611478535,Bearish,1,4.0,1,4.0,6.251860628310495,4
896,2025-08-14,06:20:57,PM,1,<10,334.4,348.52,4.222488038277514,Bullish,1,7.0,1,7.0,51.94279306220096,92
897,2025-08-14,13:43:11,AH,40,20-49,335.58,349.05,4.013946003933497,Bullish,1,7.0,1,7.0,51.408516598128614,92
898,2025-08-14,13:53:24,AH,60,50-100,335.58,350.14,4.338756779307468,Bullish,1,8.0,1,7.0,51.408516598128614,92
899,2025-08-14,13:48:55,AH,25,20-49,335.58,351.43,4.723165862089523,Bullish,1,8.0,1,7.0,51.408516598128614,92
900,2025-08-14,14:02:39,AH,380,100-499,335.58,355.42,5.912152094880515,Bullish,1,15.0,1,7.0,51.408516598128614,92
901,2025-08-14,13:44:46,AH,40,20-49,335.58,357.62,6.567733476369278,Bullish,1,16.0,1,7.0,51.408516598128614,92
929,2025-08-15,13:54:33,AH,140,100-499,330.56,307.91,6.852008712487892,Bearish,0,,1,3.0,4.828168531124267,3
930,2025-08-15,13:58:00,AH,77,50-100,330.56,309.1,6.492013552758948,Bearish,0,,1,3.0,4.828168531124267,3
931,2025-08-15,13:55:49,AH,7,<10,330.56,313.7,5.1004356243949704,Bearish,0,,1,3.0,4.828168531124267,3
932,2025-08-15,13:53:13,AH,1368,1000-2000,330.56,315.42,4.58010648596321,Bearish,1,3.0,1,3.0,4.828168531124267,3
933,2025-08-15,14:04:03,AH,972,500-999,330.56,315.56,4.537754114230397,Bearish,1,3.0,1,3.0,4.828168531124267,3
934,2025-08-15,13:56:16,AH,48,20-49,330.56,316.19,4.347168441432721,Bearish,1,3.0,1,3.0,4.828168531124267,3
935,2025-08-15,14:00:37,AH,90,50-100,330.56,349.9,5.850677637947718,Bullish,1,7.0,1,2.0,53.70785939012585,91
936,2025-08-15,13:51:10,AH,1140,1000-2000,330.56,350.51,6.035212971926424,Bullish,1,7.0,1,2.0,53.70785939012585,91
1074,2025-08-18,09:15:50,RTH,1,<10,334.43,308.72,7.687707442514122,Bearish,0,,1,2.0,5.9294901463637775,2
1075,2025-08-18,13:59:39,AH,88,50-100,335.16,311.73,6.990691013247406,Bearish,0,,1,2.0,6.134381756917412,2
1076,2025-08-18,13:46:51,AH,624,500-999,335.16,313.57,6.441699486812277,Bearish,0,,1,2.0,6.134381756917412,2
1077,2025-08-18,13:58:05,AH,540,500-999,335.16,314.49,6.167203723594705,Bearish,0,,1,2.0,6.134381756917412,2
1078,2025-08-18,13:51:29,AH,77,50-100,335.16,314.62,6.1284162787922245,Bearish,1,2.0,1,2.0,6.134381756917412,2
1079,2025-08-18,13:47:53,AH,25,20-49,335.16,315.77,5.785296574770271,Bearish,1,2.0,1,2.0,6.134381756917412,2
1080,2025-08-18,13:52:32,AH,1450,1000-2000,335.16,316.52,5.56152285475595,Bearish,1,2.0,1,2.0,6.134381756917412,2
1081,2025-08-18,13:58:15,AH,33,20-49,335.16,316.82,5.472013366750218,Bearish,1,2.0,1,2.0,6.134381756917412,2
1082,2025-08-18,13:54:20,AH,88,50-100,335.16,319.3,4.732068265902856,Bearish,1,2.0,1,2.0,6.134381756917412,2
1083,2025-08-18,14:05:14,AH,1120,1000-2000,335.16,320.18,4.469507101086053,Bearish,1,2.0,1,2.0,6.134381756917412,2
1084,2025-08-18,14:05:28,AH,31,20-49,335.16,321.59,4.048812507459139,Bearish,1,2.0,1,2.0,6.134381756917412,2
1085,2025-08-18,13:48:40,AH,65,50-100,335.16,323.28,3.5445757250268684,Bearish,1,2.0,1,2.0,6.134381756917412,2
1086,2025-08-18,14:03:17,AH,13,10-19,335.16,323.32,3.532641126626098,Bearish,1,2.0,1,2.0,6.134381756917412,2
1087,2025-08-18,13:54:16,AH,100,50-100,335.16,323.46,3.490870032223429,Bearish,1,2.0,1,2.0,6.134381756917412,2
1088,2025-08-18,13:48:38,AH,75,50-100,335.16,324.22,3.264112662608902,Bearish,1,2.0,1,2.0,6.134381756917412,2
1089,2025-08-18,13:50:21,AH,440,100-499,335.16,347.38,3.646019811433336,Bullish,1,5.0,1,5.0,51.598251581334274,90
1090,2025-08-18,13:47:10,AH,1540,1000-2000,335.15,349.29,4.219006415038056,Bullish,1,5.0,1,5.0,51.60277487692079,90
1091,2025-08-18,13:50:10,AH,120,100-499,335.16,349.34,4.230815133070757,Bullish,1,5.0,1,5.0,51.598251581334274,90
1092,2025-08-18,13:57:42,AH,230,100-499,335.16,349.96,4.415801408282597,Bullish,1,6.0,1,5.0,51.598251581334274,90
1093,2025-08-18,13:47:46,AH,70,50-100,335.16,351.51,4.878267096312198,Bullish,1,6.0,1,5.0,51.598251581334274,90
1094,2025-08-18,14:02:57,AH,88,50-100,335.16,354.85,5.874806062775987,Bullish,1,7.0,1,5.0,51.598251581334274,90
1095,2025-08-18,13:53:35,AH,12180,>=5000,335.15,355.06,5.940623601372528,Bullish,1,7.0,1,5.0,51.60277487692079,90
1096,2025-08-18,13:50:29,AH,260,100-499,335.16,355.48,6.062775987588015,Bullish,1,13.0,1,5.0,51.598251581334274,90
1097,2025-08-18,13:51:55,AH,30,20-49,335.16,355.52,6.074710585988768,Bullish,1,13.0,1,5.0,51.598251581334274,90
1098,2025-08-18,14:03:22,AH,70,50-100,335.16,355.76,6.146318176393354,Bullish,1,13.0,1,5.0,51.598251581334274,90
1099,2025-08-18,13:51:10,AH,30,20-49,335.16,357.72,6.731113498030791,Bullish,1,14.0,1,5.0,51.598251581334274,90
1100,2025-08-18,13:51:02,AH,40,20-49,335.16,358.28,6.898197875641468,Bullish,1,14.0,1,5.0,51.598251581334274,90
1128,2025-08-19,13:57:35,AH,30,20-49,329.31,306.0,7.078436731347364,Bearish,0,,1,1.0,4.466913818737474,1
1129,2025-08-19,13:46:21,AH,70,50-100,329.31,306.19,7.020740335853756,Bearish,0,,1,1.0,4.466913818737474,1
1130,2025-08-19,13:53:07,AH,30,20-49,329.31,306.22,7.011630378670546,Bearish,0,,1,1.0,4.466913818737474,1
1131,2025-08-19,13:48:08,AH,160,100-499,329.31,307.05,6.759588229935316,Bearish,0,,1,1.0,4.466913818737474,1
1132,2025-08-19,13:46:19,AH,30,20-49,329.31,311.29,5.472047614709539,Bearish,0,,1,1.0,4.466913818737474,1
1133,2025-08-19,13:51:55,AH,1350,1000-2000,329.31,316.12,4.005344508214144,Bearish,1,1.0,1,1.0,4.466913818737474,1
1134,2025-08-19,13:57:48,AH,50,50-100,329.31,317.06,3.7198991831405057,Bearish,1,1.0,1,1.0,4.466913818737474,1
